Date;retail;grocery;park;transit;workplace;residential;New Cases;New Deaths;New Recovered;New Active Cases;Total Cases;Total Deaths;Total Recovered;Total Active Cases;Day;Month;Kebijakan;;
2021-01-01 00:00:00;-46;-27;-51;-61;-73;22;1956;20;1643;293;185690;3290;166347;16053;Friday;January;PSBB Transisi;;
2021-01-02 00:00:00;-39;-15;-50;-41;-33;11;1894;26;2280;-412;187584;3316;168627;15641;Saturday;January;PSBB Transisi;;
2021-01-03 00:00:00;-40;-19;-58;-34;-15;9;1658;10;1691;-43;189242;3326;170318;15598;Sunday;January;PSBB Transisi;;
2021-01-04 00:00:00;-29;-5;-50;-39;-32;13;1832;21;2527;-716;191074;3347;172845;14882;Monday;January;PSBB Transisi;;
2021-01-05 00:00:00;-32;-9;-53;-39;-33;14;1824;19;1339;466;192898;3366;174184;15348;Tuesday;January;PSBB Transisi;;
2021-01-06 00:00:00;-30;-11;-52;-40;-32;14;2402;17;1095;1290;195300;3383;175279;16638;Wednesday;January;PSBB Transisi;;
2021-01-07 00:00:00;-31;-10;-51;-41;-33;15;2398;21;1446;931;197698;3404;176725;17569;Thursday;January;PSBB Transisi;;
2021-01-08 00:00:00;-28;-9;-44;-41;-31;15;2959;24;2690;245;200657;3428;179415;17814;Friday;January;PSBB Transisi;;
2021-01-09 00:00:00;-38;-18;-58;-39;-20;11;2753;27;2118;608;203410;3455;181533;18422;Saturday;January;PSBB Transisi;;
2021-01-10 00:00:00;-32;-9;-55;-34;-12;9;2711;31;2898;-218;206121;3486;184431;18204;Sunday;January;PSBB Transisi;;
2021-01-11 00:00:00;-32;-12;-50;-43;-34;15;2461;31;2510;-80;208582;3517;186941;18124;Monday;January;PSBB Transisi;;
2021-01-12 00:00:00;-36;-17;-54;-44;-36;15;2669;34;1657;978;211251;3551;188598;19102;Tuesday;January;PSBB;;
2021-01-13 00:00:00;-36;-18;-53;-45;-36;14;3476;45;2952;479;214727;3596;191550;19581;Wednesday;January;PSBB;;
2021-01-14 00:00:00;-38;-23;-53;-48;-40;12;3165;43;2075;1047;217892;3639;193625;20628;Thursday;January;PSBB;;
2021-01-15 00:00:00;-36;-22;-48;-49;-40;13;2541;35;2490;16;220433;3674;196115;20644;Friday;January;PSBB;;
2021-01-16 00:00:00;-39;-21;-53;-44;-28;8;3536;32;1772;1732;223969;3706;197887;22376;Saturday;January;PSBB;;
2021-01-17 00:00:00;-41;-24;-57;-43;-23;8;3395;33;3776;-414;227364;3739;201663;21962;Sunday;January;PSBB;;
2021-01-18 00:00:00;-39;-24;-55;-48;-41;14;2361;36;2801;-476;229725;3775;204464;21486;Monday;January;PSBB;;
2021-01-19 00:00:00;-39;-23;-56;-49;-41;14;2563;40;2500;23;232288;3815;206964;21509;Tuesday;January;PSBB;;
2021-01-20 00:00:00;-38;-23;-55;-49;-40;14;3786;33;3770;-17;236074;3848;210734;21492;Wednesday;January;PSBB;;
2021-01-21 00:00:00;-39;-24;-54;-49;-40;14;3151;30;2570;551;239225;3878;213304;22043;Thursday;January;PSBB;;
2021-01-22 00:00:00;-35;-20;-47;-48;-37;15;3791;41;2169;1581;243016;3919;215473;23624;Friday;January;PSBB;;
2021-01-23 00:00:00;-37;-17;-52;-41;-23;9;3285;31;3492;-238;246301;3950;218965;23386;Saturday;January;PSBB;;
2021-01-24 00:00:00;-48;-33;-71;-50;-26;13;3512;39;2328;1145;249813;3989;221293;24531;Sunday;January;PSBB;;
2021-01-25 00:00:00;-34;-16;-52;-45;-37;14;2451;43;2504;-96;252264;4032;223797;24435;Monday;January;PSBB;;
2021-01-26 00:00:00;-36;-18;-55;-45;-38;14;2313;46;2939;-672;254577;4078;226736;23763;Tuesday;January;PPKM;;
2021-01-27 00:00:00;-35;-18;-54;-46;-37;14;1836;34;2970;-1168;256413;4112;229706;22595;Wednesday;January;PPKM;;
2021-01-28 00:00:00;-34;-15;-50;-45;-37;13;2889;40;2731;118;259302;4152;232437;22713;Thursday;January;PPKM;;
2021-01-29 00:00:00;-33;-14;-46;-45;-36;14;3448;44;2428;976;262750;4196;234865;23689;Friday;January;PPKM;;
2021-01-30 00:00:00;-36;-12;-56;-39;-23;8;3491;30;3565;-104;266241;4226;238430;23585;Saturday;January;PPKM;;
2021-01-31 00:00:00;-33;-8;-60;-35;-16;7;3474;42;3354;78;269715;4268;241784;23663;Sunday;January;PPKM;;
2021-02-01 00:00:00;-33;-12;-54;-43;-36;12;3614;45;2352;1217;273329;4313;244136;24880;Monday;February;PPKM;;
2021-02-02 00:00:00;-32;-7;-52;-42;-37;12;3362;44;4577;-1259;276691;4357;248713;23621;Tuesday;February;PPKM;;
2021-02-03 00:00:00;-34;-15;-57;-45;-37;13;3567;44;1391;2132;280258;4401;250104;25753;Wednesday;February;PPKM;;
2021-02-04 00:00:00;-35;-17;-55;-45;-37;12;3632;40;3963;-371;283890;4441;254067;25382;Thursday;February;PPKM;;
2021-02-05 00:00:00;-28;-6;-46;-42;-35;12;3340;45;2475;820;287230;4486;256542;26202;Friday;February;PPKM;;
2021-02-06 00:00:00;-31;-6;-52;-35;-23;7;2379;44;4433;-2098;289609;4530;260975;24104;Saturday;February;PPKM;;
2021-02-07 00:00:00;-39;-20;-66;-41;-21;8;4212;45;4305;-138;293821;4575;265280;23966;Sunday;February;PPKM;;
2021-02-08 00:00:00;-33;-14;-55;-43;-37;12;3142;43;3415;-316;296963;4618;268695;23650;Monday;February;PPKM;;
2021-02-09 00:00:00;-31;-9;-55;-42;-37;11;3437;57;2786;594;300400;4675;271481;24244;Tuesday;February;PPKM Mikro;;
2021-02-10 00:00:00;-29;-8;-52;-41;-36;11;3308;43;3244;21;303708;4718;274725;24265;Wednesday;February;PPKM Mikro;;
2021-02-11 00:00:00;-27;-6;-47;-37;-37;9;2513;51;4096;-1634;306221;4769;278821;22631;Thursday;February;PPKM Mikro;;
2021-02-12 00:00:00;-34;-17;-41;-55;-67;20;3807;50;5636;-1879;310028;4819;284457;20752;Friday;February;PPKM Mikro;;
2021-02-13 00:00:00;-35;-15;-48;-41;-30;8;3016;53;5010;-2047;313044;4872;289467;18705;Saturday;February;PPKM Mikro;;
2021-02-14 00:00:00;-37;-18;-57;-38;-19;7;2497;48;3977;-1528;315541;4920;293444;17177;Sunday;February;PPKM Mikro;;
2021-02-15 00:00:00;-32;-12;-51;-41;-35;11;1879;42;2081;-244;317420;4962;295525;16933;Monday;February;PPKM Mikro;;
2021-02-16 00:00:00;-39;-21;-58;-44;-39;13;1861;62;1579;220;319281;5024;297104;17153;Tuesday;February;PPKM Mikro;;
2021-02-17 00:00:00;-32;-12;-51;-42;-34;11;1446;31;2591;-1176;320727;5055;299695;15977;Wednesday;February;PPKM Mikro;;
2021-02-18 00:00:00;-39;-23;-57;-45;-36;13;373;35;2717;-2379;321100;5090;302412;13598;Thursday;February;PPKM Mikro;;
2021-02-19 00:00:00;-30;-10;-46;-43;-34;13;1920;6;2757;-843;323020;5096;305169;12755;Friday;February;PPKM Mikro;;
2021-02-20 00:00:00;-38;-14;-55;-40;-25;9;2872;40;2490;342;325892;5136;307659;13097;Saturday;February;PPKM Mikro;;
2021-02-21 00:00:00;-35;-12;-57;-38;-17;7;2725;55;2681;-11;328617;5191;310340;13086;Sunday;February;PPKM Mikro;;
2021-02-22 00:00:00;-31;-12;-50;-43;-34;11;2465;40;2305;120;331082;5231;312645;13206;Monday;February;PPKM Mikro;;
2021-02-23 00:00:00;-34;-15;-54;-43;-35;11;782;45;2052;-1315;331864;5276;314697;11891;Tuesday;February;PPKM Mikro;;
2021-02-24 00:00:00;-34;-18;-53;-44;-34;12;782;35;1857;-1110;332646;5311;316554;10781;Wednesday;February;PPKM Mikro;;
2021-02-25 00:00:00;-29;-7;-49;-41;-33;10;1581;55;2656;-1130;334227;5366;319210;9651;Thursday;February;PPKM Mikro;;
2021-02-26 00:00:00;-24;-2;-41;-39;-32;11;1662;42;1864;-244;335889;5408;321074;9407;Friday;February;PPKM Mikro;;
2021-02-27 00:00:00;-24;4;-42;-30;-19;5;1736;44;1163;529;337625;5452;322237;9936;Saturday;February;PPKM Mikro;;
